.text _start
0x0000000000317fc8 main
main .plt.got
.plt.got getpwuid
main pwcopy
pwcopy xcalloc
xcalloc .plt.got
.plt.got calloc
pwcopy xstrdup
xstrdup .plt.got
.plt.got strlen
xstrdup xmalloc
xmalloc .plt.got
.plt.got malloc
xstrdup strlcpy
pwcopy xstrdup
xstrdup .plt.got
.plt.got strlen
xstrdup xmalloc
xmalloc .plt.got
.plt.got malloc
xstrdup strlcpy
pwcopy xstrdup
xstrdup .plt.got
.plt.got strlen
xstrdup xmalloc
xmalloc .plt.got
.plt.got malloc
xstrdup strlcpy
pwcopy xstrdup
xstrdup .plt.got
.plt.got strlen
xstrdup xmalloc
xmalloc .plt.got
.plt.got malloc
xstrdup strlcpy
pwcopy xstrdup
xstrdup .plt.got
.plt.got strlen
xstrdup xmalloc
xmalloc .plt.got
.plt.got malloc
xstrdup strlcpy
main .plt.got
.plt.got umask
main msetlocale
0x0000000000312e00 msetlocale
0x0000000000312e08 msetlocale
0x0000000000312e10 msetlocale
0x0000000000312e18 msetlocale
msetlocale .plt.got
.plt.got getenv
msetlocale .plt.got
.plt.got getenv
msetlocale .plt.got
.plt.got getenv
msetlocale .plt.got
.plt.got __nss_hosts_lookup
msetlocale .plt.got
.plt.got setlocale
main initialize_options
initialize_options .plt.got
.plt.got memset
initialize_options 0x0000000000316008
initialize_options 0x000000000031600c
initialize_options 0x0000000000316014
initialize_options 0x0000000000316010
initialize_options 0x0000000000317300
initialize_options 0x0000000000317308
initialize_options 0x00000000003172f8
initialize_options 0x0000000000316018
initialize_options 0x0000000000316020
initialize_options 0x0000000000316028
initialize_options 0x000000000031602c
initialize_options 0x0000000000316030
initialize_options 0x0000000000316034
initialize_options 0x000000000031603c
initialize_options 0x0000000000316040
initialize_options 0x0000000000316048
initialize_options 0x000000000031604c
initialize_options 0x0000000000316050
initialize_options 0x0000000000316054
initialize_options 0x0000000000316058
initialize_options 0x0000000000316060
initialize_options 0x0000000000316038
initialize_options 0x0000000000316044
initialize_options 0x0000000000316068
initialize_options 0x000000000031606c
initialize_options 0x0000000000316070
initialize_options 0x0000000000316074
initialize_options 0x000000000031607c
initialize_options 0x0000000000316078
initialize_options 0x000000000031608c
initialize_options 0x0000000000316090
initialize_options 0x0000000000316094
initialize_options 0x0000000000316098
initialize_options 0x000000000031609c
initialize_options 0x00000000003160a0
initialize_options 0x00000000003160a8
initialize_options 0x00000000003160b0
initialize_options 0x00000000003160c0
initialize_options 0x00000000003160b8
initialize_options 0x00000000003160c8
initialize_options 0x000000000031631c
initialize_options 0x0000000000316af0
initialize_options 0x00000000003160d0
initialize_options 0x00000000003160d8
initialize_options 0x00000000003160e0
initialize_options 0x0000000000317ea8
initialize_options 0x0000000000317eb0
initialize_options 0x0000000000317eb8
initialize_options 0x0000000000317ec0
initialize_options 0x00000000003160e8
initialize_options 0x00000000003160f0
initialize_options 0x00000000003160f4
initialize_options 0x00000000003161f8
initialize_options 0x00000000003172e0
initialize_options 0x00000000003172d8
initialize_options 0x00000000003172f0
initialize_options 0x00000000003172e8
initialize_options 0x0000000000316088
initialize_options 0x0000000000316300
initialize_options 0x0000000000316308
initialize_options 0x0000000000316310
initialize_options 0x000000000031730c
initialize_options 0x000000000031731c
initialize_options 0x0000000000317320
initialize_options 0x0000000000317310
initialize_options 0x0000000000317318
